x,y,color,target,time,
-0.0194835,0.00380207,48,5,100038000, 
-0.0194835,0.00380207,48,5,100980000, 
-0.0194835,0.00380207,48,5,102030000, 
-0.0194835,0.00380207,48,5,103038000, 
-0.0194835,0.00380207,48,5,104053000, 
-0.0194835,0.00380207,48,5,104992000, 
-0.0194835,0.00380207,48,5,105967000, 
-0.0194835,0.00380207,48,5,107135000, 
-0.0194835,0.00380207,48,5,108033000, 
-0.0194835,0.00380207,48,5,109025000, 
-0.0194835,0.00380207,48,5,110124000, 
-0.0194909,0.00461041,48,5,111087000, 
-0.0194909,0.00461041,48,5,112104000, 
-0.0194909,0.00461041,48,5,113039000, 
-0.0194909,0.00461041,48,5,114048000, 
-0.0194909,0.00461041,48,5,115090000, 
-0.0194909,0.00461041,48,5,116051000, 
-0.0194909,0.00461041,48,5,117011000, 
-0.0194909,0.00461041,48,5,118106000, 
-0.0194909,0.00461041,48,5,119070000, 
-0.0194909,0.00461041,48,5,120138000, 
-0.0194909,0.00461041,48,5,121071000, 
-0.0194909,0.00461041,48,5,122072000, 
-0.0194909,0.00461041,48,5,123031000, 
-0.0194909,0.00461041,48,5,124006000, 
-0.0194909,0.00461041,48,5,125068000, 
-0.0194909,0.00461041,48,5,126021000, 
-0.0194909,0.00461041,48,5,127061000, 
-0.0194909,0.00461041,48,5,128080000, 
-0.0194909,0.00461041,48,5,129043000, 
-0.0194909,0.00461041,48,5,130109000, 
-0.0194909,0.00461041,48,5,131073000, 
-0.0194909,0.00461041,48,5,132061000, 
-0.0194909,0.00461041,48,5,133101000, 
-0.0194909,0.00461041,48,5,134077000, 
-0.0194909,0.00461041,48,5,135082000, 
-0.0194909,0.00461041,48,5,136009000, 
-0.0194909,0.00461041,48,5,137054000, 
-0.0194909,0.00461041,48,5,138047000, 
-0.0194909,0.00461041,48,5,139076000, 
-0.0194909,0.00461041,48,5,140013000, 
-0.0194909,0.00461041,48,5,140993000, 
-0.0194909,0.00461041,48,5,142052000, 
-0.0194909,0.00461041,48,5,143053000, 
-0.0194909,0.00461041,48,5,144107000, 
-0.0194909,0.00461041,48,5,145082000, 
-0.0194909,0.00461041,48,5,146084000, 
-0.0194909,0.00461041,48,5,147078000, 
-0.0194909,0.00461041,48,5,148072000, 
-0.0194909,0.00461041,48,5,149106000, 
-0.0194909,0.00461041,48,5,150014000, 
-0.0194909,0.00461041,48,5,151074000, 
-0.0194909,0.00461041,48,5,152086000, 
-0.0194909,0.00461041,48,5,153041000, 
-0.0194909,0.00461041,48,5,154054000, 
-0.0194909,0.00461041,48,5,155061000, 
-0.0194909,0.00461041,48,5,156051000, 
-0.0194909,0.00461041,48,5,157025000, 
-0.0194909,0.00461041,48,5,158110000, 
-0.0194909,0.00461041,48,5,159046000, 
-0.0194909,0.00461041,48,5,160082000, 
-0.0194909,0.00461041,48,5,161089000, 
-0.0194909,0.00461041,48,5,162092000, 
-0.0194909,0.00461041,48,5,163105000, 
-0.0194909,0.00461041,48,5,164027000, 
-0.0194909,0.00461041,48,5,165104000, 
-0.0194909,0.00461041,48,5,166091000, 
-0.0194909,0.00461041,48,5,167058000, 
-0.0194909,0.00461041,48,5,168050000, 
-0.0194909,0.00461041,48,5,169091000, 
-0.0194909,0.00461041,48,5,170130000, 
-0.0194909,0.00461041,48,5,171093000, 
-0.0194909,0.00461041,48,5,172051000, 
-0.0194909,0.00461041,48,5,173091000, 
-0.0194909,0.00461041,48,5,174122000, 
-0.0194909,0.00461041,48,5,175080000, 
-0.0194909,0.00461041,48,5,176059000, 
-0.0194909,0.00461041,48,5,177070000, 
-0.0194909,0.00461041,48,5,178107000, 
-0.0194909,0.00461041,48,5,179107000, 
-0.0194909,0.00461041,48,5,180142000, 
